NEET 2025 Practice Paper — SET 2 (All 180 Questions),,,,,,,,
qno,subject,topic,question,optionA,optionB,optionC,optionD,correctAnswer
1,Physics,Units & Measurement,The dimensional formula of angular momentum is:,[ML²T⁻¹],[MLT⁻¹],[ML²T⁻²],[M²L²T⁻¹],A
2,Physics,Kinematics,A ball is thrown vertically upward with a velocity of 20 m/s. The maximum height reached is (g=10 m/s²):,10 m,20 m,40 m,5 m,B
3,Physics,Laws of Motion,A body of mass 5 kg is acted upon by two perpendicular forces 8 N and 6 N. The acceleration of the body is:,2 m/s²,3 m/s²,1 m/s²,4 m/s²,A
4,Physics,Work Energy Power,A bullet of mass 10 g moving at 400 m/s is stopped by a wooden block. The kinetic energy of bullet before stopping is:,800 J,400 J,200 J,1600 J,A
5,Physics,Laws of Motion,A rocket of mass 3×10⁴ kg ejects gas at 4×10³ m/s. The thrust force is 1.2×10⁸ N. The acceleration of rocket (neglecting gravity) is:,4000 m/s²,3000 m/s²,2000 m/s²,1000 m/s²,A
6,Physics,Gravitation,The gravitational potential energy of a body of mass m at height h above Earth's surface (R = radius) is:,−GMm/(R+h),−GMm/R,GMm/h,GMm/(R+h),A
7,Physics,Properties of Matter,"When a wire of length L, cross-section A and Young's modulus Y is stretched by x, the elastic potential energy stored is:",YAx²/2L,YAx/L,YAx²/L,2YAx²/L,A
8,Physics,Thermodynamics,One mole of an ideal gas undergoes isothermal expansion from V to 2V at temperature T. The work done by the gas is:,RT ln2,RT,2RT,RT/2,A
9,Physics,Kinetic Theory,At what temperature will the average KE of gas molecules be double that at 27°C?,54°C,327°C,600°C,300°C,B
10,Physics,Waves,A transverse wave y = 0.5 sin(2πx − 4πt) cm. The speed of wave is:,2 m/s,4 m/s,1 m/s,0.5 m/s,A
11,Physics,Electrostatics,"The capacitance of a parallel plate capacitor with plate area A, separation d and dielectric constant K is:",KAε₀/d,Aε₀/Kd,KAε₀d,Aε₀/d,A
12,Physics,Electrostatics,Two capacitors C₁ = 4μF and C₂ = 6μF are connected in series across 100V. The charge on each capacitor is:,240 μC,120 μC,60 μC,360 μC,A
13,Physics,Current Electricity,The resistivity of a material depends on:,Length of conductor,Area of cross-section,Nature and temperature of material,Shape of conductor,C
14,Physics,Current Electricity,"In a meter bridge, the balance point is at 40 cm from left. If known resistance is 60Ω, unknown resistance is:",90 Ω,40 Ω,80 Ω,100 Ω,B
15,Physics,Magnetism,The magnetic field at the centre of a circular loop of radius R carrying current I is:,μ₀I/2R,μ₀I/R,2μ₀I/R,μ₀I/4R,A
16,Physics,Magnetism,Tangent galvanometer works on the principle that the magnetic field of current-carrying coil balances:,Vertical component of Earth's field,Horizontal component of Earth's field,Total Earth's field,None of these,B
17,Physics,EMI,A conducting rod of length L moves with velocity v in a magnetic field B perpendicular to both rod and field. The EMF induced is:,BLv,BL²v,BLv²,B²Lv,A
18,Physics,AC Circuits,The power factor of a purely inductive circuit is:,1,0,0.5,Infinity,B
19,Physics,Optics,A concave mirror of focal length 15 cm forms a virtual image at 45 cm behind the mirror. The object distance is:,22.5 cm,30 cm,10 cm,45 cm,A
20,Physics,Optics,"Snell's law states that n₁sinθ₁ = n₂sinθ₂. When light goes from denser to rarer medium, it bends:",Towards normal,Away from normal,Along normal,Depends on wavelength,B
21,Physics,Wave Optics,"In single slit diffraction, the angular position of first minimum is:",λ/a,λ/2a,2λ/a,aλ,A
22,Physics,Wave Optics,Polarisation of light proves that light is:,Longitudinal wave,Transverse wave,Mechanical wave,Sound wave,B
23,Physics,Modern Physics,The stopping potential for photoelectric effect depends on:,Intensity of light,Frequency of light only,Both intensity and frequency,Number of photons,B
24,Physics,Modern Physics,The uncertainty principle states Δx·Δp ≥ h/4π. It is applicable to:,Macroscopic particles only,Microscopic particles only,All particles,Only charged particles,C
25,Physics,Atoms,The wavelength of Hα line (first line of Balmer series) of hydrogen is:,656 nm,486 nm,434 nm,410 nm,A
26,Physics,Nuclei,"In alpha decay, the mass number decreases by:",1,2,3,4,D
27,Physics,Semiconductors,"In an n-type semiconductor, the majority charge carriers are:",Holes,Electrons,Both equally,Protons,B
28,Physics,Semiconductors,The logic gate whose output is 1 only when all inputs are 1 is:,OR,AND,NOT,NOR,B
29,Physics,Communication,Modulation index in AM is kept less than 1 to avoid:,Noise,Over-modulation and distortion,Carrier loss,Weak signal,B
30,Physics,Kinematics,A stone is projected horizontally from height H with velocity u. The time to reach the ground is:,√(2H/g),2H/g,√(H/g),H/g,A
31,Physics,Work Energy Power,The coefficient of restitution for a perfectly elastic collision is:,0,0.5,1,Greater than 1,C
32,Physics,Rotational Motion,"The moment of inertia of a thin rod of mass M, length L about its centre is:",ML²/3,ML²/12,ML²/6,ML²/4,B
33,Physics,Gravitation,Geostationary satellites orbit at height ~36000 km. Their time period is:,12 hours,24 hours,6 hours,48 hours,B
34,Physics,Fluid Mechanics,"The terminal velocity of a sphere of radius r, density ρ falling in a fluid of viscosity η and density σ is:",2r²(ρ−σ)g/9η,r²(ρ−σ)g/9η,2r²ρg/9η,r²ρg/9η,A
35,Physics,Thermodynamics,"For a monoatomic ideal gas, the ratio Cp/Cv (γ) is:",05-Mar,07-May,04-Mar,03-Feb,A
36,Physics,Electrostatics,The electric flux through a closed surface enclosing charge Q (Gauss's law) is:,Q/ε₀,Qε₀,Q/4πε₀,4πQ/ε₀,A
37,Physics,Current Electricity,Kirchhoff's current law is based on conservation of:,Energy,Charge,Momentum,Mass,B
38,Physics,Magnetism,The force on a current-carrying conductor of length L in magnetic field B at angle θ is:,BIL sinθ,BIL cosθ,BIL tanθ,BIL,A
39,Physics,Optics,Myopia (short-sightedness) is corrected using:,Convex lens,Concave lens,Cylindrical lens,Bifocal lens,B
40,Physics,Modern Physics,"Energy of a photon of frequency ν is E = hν. For λ = 500 nm, the energy is approximately:",2.48 eV,1.24 eV,4.96 eV,0.62 eV,A
41,Physics,Nuclei,Nuclear fission of U-235 releases approximately how much energy per fission?,200 MeV,20 MeV,2 MeV,2000 MeV,A
42,Physics,Oscillations,"At mean position of a particle executing SHM, which of the following is maximum?",Potential energy,Acceleration,Velocity,Displacement,C
43,Physics,Properties of Matter,The pressure at depth h below the surface of a liquid of density ρ is:,ρgh,ρg/h,ρh/g,g/ρh,A
44,Physics,EMI,"Self-inductance of a solenoid of N turns, length l, area A is:",μ₀N²A/l,μ₀NA/l,μ₀N²A·l,μ₀NA/l²,A
45,Physics,AC Circuits,"Resonant frequency of an LCR circuit with L=1H, C=1μF is:",1000/2π Hz,1/2π Hz,1000 Hz,500/π Hz,A
46,Chemistry,Some Basic Concepts,"According to Avogadro's hypothesis, 22.4 L of any gas at STP contains:",6.022×10²²,6.022×10²³,6.022×10²⁴,3.011×10²³,B
47,Chemistry,Atomic Structure,Heisenberg uncertainty principle states that the uncertainty in position and momentum of an electron is:,Δx·Δp ≥ h/4π,Δx·Δp = h,Δx·Δp ≤ h/2π,Δx·Δp = h/2π,A
48,Chemistry,Chemical Bonding,"In PCl₅, the geometry is:",Trigonal pyramidal,Trigonal bipyramidal,Octahedral,Square pyramidal,B
49,Chemistry,States of Matter,The van der Waals equation for one mole of gas is:,(P + a/V²)(V − b) = RT,PV = RT,(P − a/V²)(V + b) = RT,PV = nRT,A
50,Chemistry,Thermodynamics,"At absolute zero, the entropy of a perfectly crystalline substance is:",Maximum,Zero,Minimum but not zero,Infinite,B
51,Chemistry,Equilibrium,The pH of 0.01 M HCl solution is:,1,2,3,0.5,B
52,Chemistry,Redox Reactions,"In the reaction: 2H₂O₂ → 2H₂O + O₂, hydrogen peroxide acts as:",Oxidizing agent only,Reducing agent only,Both oxidizing and reducing agent,Neither,C
53,Chemistry,Solutions,"Elevation in boiling point ΔTb = Kbm. If Kb of water = 0.512 K·kg/mol and 1 mol glucose is dissolved in 1 kg water, ΔTb is:",0.512 K,1.024 K,0.256 K,1.536 K,A
54,Chemistry,Electrochemistry,The equivalent conductance of a solution increases with dilution because:,Number of ions decreases,Ionic mobility increases,Ionic strength increases,Solvation decreases,B
55,Chemistry,Chemical Kinetics,The half-life of a zero order reaction is:,0.693/k,[A]₀/2k,1/k[A]₀,k/[A]₀,B
56,Chemistry,Surface Chemistry,The coagulation of a colloid is caused by:,Heating,Adding electrolytes,Both A and B,Dilution,C
57,Chemistry,p-Block Elements,The hybridisation of sulphur in SF₆ is:,sp³,sp³d,sp³d²,sp²,C
58,Chemistry,d-Block Elements,Which of the following shows maximum number of oxidation states?,Sc,Mn,Zn,Cu,B
59,Chemistry,Coordination Chemistry,The IUPAC name of [Co(NH₃)₄Cl₂]Cl is:,Tetraaminedichlorocobalt(III) chloride,Tetraamminedichloridocobalt(III) chloride,Dichloroaminecobalt chloride,Cobalt tetraamine dichloride,B
60,Chemistry,Haloalkanes,Grignard reagent is represented as:,R-MgX,R-Li,R-Na,R-ZnX,A
61,Chemistry,Alcohols,Which alcohol undergoes dehydration most easily (lowest temperature)?,Methanol,Ethanol,Isopropanol,tert-Butanol,D
62,Chemistry,Carbonyl Compounds,Fehling's solution is used to detect:,Ketones,Aldehydes,Carboxylic acids,Esters,B
63,Chemistry,Carboxylic Acids,The reaction of acetic acid with ammonia forms:,Acetamide directly,"Ammonium acetate first, then acetamide on heating",Acetic anhydride,Acetyl chloride,B
64,Chemistry,Amines,Gabriel synthesis is used for preparation of:,Primary amines,Secondary amines,Tertiary amines,Quaternary ammonium salts,A
65,Chemistry,Biomolecules,The secondary structure of proteins refers to:,Sequence of amino acids,α-helix and β-pleated sheet,3D folding,Combination of subunits,B
66,Chemistry,Polymers,Teflon (PTFE) is a polymer of:,Tetrafluoroethylene,Vinyl chloride,Styrene,Acrylonitrile,A
67,Chemistry,s-Block Elements,The thermal stability of carbonates of alkaline earth metals increases:,Down the group,Up the group,Remains same,Irregular,A
68,Chemistry,p-Block Elements,Ozone acts as an oxidizing agent because it releases:,O₂,Nascent oxygen,O⁻ ion,O₃⁻,B
69,Chemistry,Chemical Bonding,Which molecule has zero dipole moment despite having polar bonds?,NH₃,H₂O,BF₃,HF,C
70,Chemistry,Thermodynamics,The standard enthalpy of combustion of carbon (graphite) to CO₂ is −393.5 kJ/mol. This represents:,Bond enthalpy,Enthalpy of formation of CO₂,Lattice enthalpy,Enthalpy of atomisation,B
